Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
CUST_307,PROD_48,Electronics,15,2024-07-15
CUST_269,PROD_33,Home,233,2024-03-21
CUST_176,PROD_4,Electronics,312,2024-07-12
CUST_262,PROD_24,Clothing,187,2025-02-18
CUST_317,PROD_40,Home,469,2024-03-14
CUST_213,PROD_26,Home,64,2024-09-18
CUST_343,PROD_30,Clothing,53,2024-12-17
CUST_267,PROD_43,Toys,471,2024-04-27
CUST_456,PROD_17,Clothing,92,2024-04-12
CUST_253,PROD_30,Clothing,75,2024-09-12
CUST_154,PROD_10,Home,214,2025-01-10
CUST_313,PROD_13,Clothing,438,2024-03-11
CUST_363,PROD_24,Food,497,2024-06-13
CUST_43,PROD_34,Electronics,279,2024-11-12
CUST_313,PROD_40,Food,473,2024-06-18
CUST_347,PROD_29,Clothing,355,2024-05-17
CUST_274,PROD_34,Food,145,2024-11-09
CUST_166,PROD_3,Electronics,138,2024-04-25
CUST_327,PROD_11,Food,202,2024-07-19
CUST_493,PROD_21,Food,15,2024-05-16
CUST_103,PROD_21,Toys,87,2024-05-25
CUST_451,PROD_30,Electronics,382,2024-05-13
CUST_269,PROD_44,Toys,209,2024-03-17
CUST_190,PROD_41,Clothing,341,2024-12-23
CUST_4,PROD_9,Food,441,2024-11-27
CUST_180,PROD_13,Food,464,2024-07-10
CUST_401,PROD_34,Toys,175,2024-03-23
CUST_395,PROD_6,Food,156,2024-03-22
CUST_226,PROD_28,Food,415,2024-04-07
CUST_48,PROD_22,Toys,214,2024-05-24
CUST_289,PROD_16,Clothing,278,2024-10-29
CUST_354,PROD_6,Electronics,410,2024-03-31
CUST_479,PROD_32,Food,97,2024-03-09
CUST_4,PROD_30,Clothing,34,2024-04-29
CUST_290,PROD_10,Clothing,158,2024-12-29
CUST_389,PROD_27,Toys,401,2024-04-07
CUST_426,PROD_2,Toys,438,2025-02-03
CUST_35,PROD_23,Electronics,378,2024-03-26
CUST_170,PROD_32,Home,473,2025-02-11
CUST_368,PROD_12,Food,409,2024-08-29
CUST_112,PROD_6,Electronics,373,2024-03-11
CUST_190,PROD_1,Toys,113,2025-01-11
CUST_240,PROD_12,Home,376,2024-09-06
CUST_289,PROD_29,Home,13,2024-10-16
CUST_422,PROD_22,Food,40,2024-04-22
CUST_278,PROD_15,Clothing,436,2024-06-02
CUST_101,PROD_6,Clothing,434,2024-05-06
CUST_284,PROD_36,Clothing,234,2024-06-21
CUST_406,PROD_12,Toys,447,2025-01-21
CUST_310,PROD_1,Clothing,346,2024-12-06
CUST_445,PROD_16,Clothing,229,2025-01-28
CUST_385,PROD_30,Toys,371,2024-03-19
CUST_418,PROD_11,Food,181,2024-11-23
CUST_38,PROD_19,Electronics,438,2024-07-26
CUST_435,PROD_6,Toys,126,2024-06-26
CUST_422,PROD_10,Electronics,412,2024-11-09
CUST_491,PROD_30,Toys,357,2024-03-05
CUST_272,PROD_14,Food,364,2024-05-23
CUST_336,PROD_14,Food,436,2024-10-16
CUST_23,PROD_39,Toys,165,2024-06-03
CUST_280,PROD_48,Food,62,2024-11-23
CUST_1,PROD_17,Electronics,385,2024-07-10
CUST_275,PROD_7,Toys,268,2024-11-14
CUST_96,PROD_37,Home,86,2024-04-11
CUST_476,PROD_39,Toys,146,2024-08-02
CUST_260,PROD_14,Clothing,246,2024-07-04
CUST_488,PROD_5,Food,343,2024-11-22
CUST_79,PROD_36,Home,100,2024-07-29
CUST_219,PROD_42,Electronics,289,2025-02-22
CUST_22,PROD_48,Food,103,2024-07-06
CUST_105,PROD_20,Clothing,237,2024-05-01
CUST_360,PROD_5,Toys,493,2024-04-01
CUST_144,PROD_22,Clothing,258,2024-11-29
CUST_362,PROD_24,Electronics,467,2025-02-04
CUST_223,PROD_48,Toys,64,2024-09-02
CUST_295,PROD_18,Electronics,77,2024-05-30
CUST_434,PROD_4,Food,50,2025-02-19
CUST_149,PROD_7,Food,290,2024-10-20
CUST_62,PROD_23,Electronics,460,2025-02-26
CUST_75,PROD_13,Electronics,408,2024-04-14
CUST_86,PROD_46,Electronics,16,2025-02-18
CUST_210,PROD_44,Electronics,148,2025-01-02
CUST_227,PROD_9,Food,175,2024-12-30
CUST_283,PROD_27,Food,111,2024-08-15
CUST_199,PROD_12,Toys,457,2024-12-18
CUST_341,PROD_32,Home,453,2025-01-18
CUST_91,PROD_32,Home,201,2024-06-04
CUST_288,PROD_39,Food,58,2024-05-30
CUST_434,PROD_23,Food,398,2024-04-08
CUST_257,PROD_22,Food,326,2024-10-19
CUST_102,PROD_32,Electronics,129,2024-10-03
CUST_269,PROD_22,Food,466,2024-07-03
CUST_95,PROD_44,Toys,100,2025-01-19
CUST_290,PROD_24,Electronics,115,2025-01-14
CUST_60,PROD_20,Clothing,291,2024-10-25
CUST_340,PROD_3,Home,102,2024-06-20
CUST_497,PROD_30,Clothing,440,2024-07-04
CUST_500,PROD_5,Clothing,396,2024-07-26
CUST_158,PROD_9,Food,184,2024-07-09
CUST_7,PROD_37,Home,104,2024-10-18
CUST_477,PROD_37,Food,466,2024-06-30
CUST_96,PROD_4,Clothing,441,2024-10-06
CUST_209,PROD_34,Electronics,417,2024-04-10
CUST_306,PROD_29,Electronics,265,2024-03-28
CUST_20,PROD_5,Electronics,122,2024-12-29
CUST_207,PROD_43,Clothing,310,2025-01-01
CUST_217,PROD_24,Electronics,452,2024-03-28
CUST_414,PROD_39,Home,287,2024-10-19
CUST_295,PROD_24,Clothing,31,2024-09-05
CUST_296,PROD_37,Food,148,2024-12-07
CUST_69,PROD_44,Clothing,186,2024-11-19
CUST_72,PROD_12,Clothing,95,2025-02-10
CUST_224,PROD_1,Electronics,464,2024-10-11
CUST_317,PROD_46,Home,144,2024-10-28
CUST_103,PROD_43,Food,453,2024-10-24
CUST_212,PROD_44,Clothing,480,2024-04-23
CUST_256,PROD_27,Electronics,230,2024-12-17
CUST_184,PROD_21,Electronics,348,2024-07-31
CUST_351,PROD_31,Food,12,2025-01-25
CUST_19,PROD_19,Electronics,59,2024-11-16
CUST_31,PROD_13,Electronics,461,2024-07-08
CUST_179,PROD_36,Toys,499,2024-10-04
CUST_228,PROD_44,Home,234,2024-06-01
CUST_96,PROD_33,Electronics,158,2024-10-04
CUST_230,PROD_15,Home,160,2025-01-13
CUST_89,PROD_38,Toys,114,2024-12-31
CUST_476,PROD_9,Toys,68,2024-10-01
CUST_105,PROD_46,Home,330,2024-09-22
CUST_468,PROD_44,Home,302,2024-11-27
CUST_407,PROD_6,Home,273,2024-08-18
CUST_396,PROD_38,Home,253,2024-07-13
CUST_248,PROD_14,Food,290,2024-12-21
CUST_333,PROD_25,Food,395,2024-11-11
CUST_178,PROD_47,Home,47,2024-06-27
CUST_204,PROD_36,Electronics,171,2024-08-04
CUST_259,PROD_6,Home,154,2025-01-08
CUST_11,PROD_7,Clothing,208,2024-12-06
