Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
CUST_358,PROD_50,Home,339,2024-10-03
CUST_489,PROD_38,Clothing,48,2025-02-01
CUST_477,PROD_3,Clothing,39,2024-12-15
CUST_279,PROD_35,Electronics,469,2025-01-24
CUST_80,PROD_47,Food,241,2024-12-26
CUST_492,PROD_42,Toys,237,2024-04-14
CUST_76,PROD_15,Food,231,2024-05-23
CUST_273,PROD_40,Food,438,2024-11-15
CUST_22,PROD_7,Toys,100,2024-03-17
CUST_403,PROD_5,Home,43,2024-03-09
CUST_114,PROD_14,Clothing,459,2024-10-09
CUST_61,PROD_7,Home,403,2025-02-25
CUST_225,PROD_36,Electronics,446,2024-12-21
CUST_48,PROD_50,Electronics,417,2025-02-01
CUST_346,PROD_14,Food,321,2024-10-28
CUST_50,PROD_20,Electronics,129,2024-11-07
CUST_369,PROD_39,Toys,110,2025-02-14
CUST_225,PROD_44,Toys,7,2024-12-08
CUST_454,PROD_50,Electronics,273,2024-03-19
CUST_84,PROD_23,Toys,368,2024-10-25
CUST_277,PROD_47,Clothing,218,2024-08-03
CUST_111,PROD_43,Food,288,2024-09-04
CUST_192,PROD_30,Clothing,205,2024-10-20
CUST_499,PROD_46,Home,221,2024-04-24
CUST_473,PROD_45,Toys,493,2024-08-27
CUST_232,PROD_26,Clothing,158,2024-09-17
CUST_169,PROD_25,Electronics,87,2024-04-12
CUST_376,PROD_46,Food,307,2024-04-29
CUST_415,PROD_35,Electronics,104,2025-03-01
CUST_248,PROD_1,Clothing,453,2024-05-31
CUST_224,PROD_1,Clothing,205,2024-12-01
CUST_275,PROD_46,Clothing,352,2024-09-29
CUST_493,PROD_20,Clothing,41,2024-04-10
CUST_421,PROD_43,Toys,90,2024-06-17
CUST_408,PROD_18,Clothing,271,2024-12-22
CUST_126,PROD_35,Toys,104,2025-02-02
CUST_30,PROD_17,Home,328,2024-08-16
CUST_330,PROD_12,Food,318,2024-10-15
CUST_364,PROD_5,Food,6,2024-07-07
CUST_442,PROD_6,Food,140,2024-05-16
CUST_442,PROD_28,Food,263,2024-05-25
CUST_72,PROD_12,Food,279,2024-12-12
CUST_401,PROD_18,Food,289,2025-01-14
CUST_269,PROD_48,Electronics,19,2024-07-13
CUST_489,PROD_8,Clothing,469,2024-07-29
CUST_49,PROD_44,Food,469,2024-06-08
CUST_298,PROD_39,Electronics,114,2024-07-18
CUST_375,PROD_7,Electronics,226,2024-07-29
CUST_448,PROD_6,Toys,22,2024-07-03
CUST_480,PROD_41,Home,243,2024-05-12
CUST_66,PROD_34,Electronics,166,2024-04-05
CUST_98,PROD_12,Toys,18,2024-04-10
CUST_203,PROD_8,Toys,436,2025-02-18
CUST_227,PROD_5,Home,440,2024-06-16
CUST_364,PROD_37,Electronics,260,2024-06-26
CUST_44,PROD_33,Toys,304,2024-04-27
CUST_372,PROD_3,Food,198,2024-10-06
CUST_95,PROD_47,Food,233,2024-04-12
CUST_97,PROD_47,Toys,251,2024-09-23
CUST_131,PROD_13,Home,462,2024-03-19
CUST_343,PROD_41,Home,155,2024-05-19
CUST_279,PROD_34,Clothing,397,2025-01-03
CUST_38,PROD_48,Food,411,2024-08-16
CUST_385,PROD_43,Toys,444,2024-05-31
CUST_263,PROD_20,Clothing,241,2024-05-20
CUST_476,PROD_4,Electronics,260,2024-12-15
CUST_222,PROD_18,Clothing,362,2024-04-10
CUST_78,PROD_38,Toys,38,2025-01-26
CUST_458,PROD_38,Toys,191,2024-11-22
CUST_96,PROD_14,Food,367,2024-03-11
CUST_271,PROD_23,Toys,288,2024-06-29
CUST_199,PROD_14,Home,414,2024-05-29
CUST_257,PROD_9,Electronics,105,2025-02-09
CUST_369,PROD_3,Home,420,2025-01-21
CUST_95,PROD_1,Food,434,2025-01-06
CUST_410,PROD_24,Toys,208,2025-01-24
CUST_87,PROD_50,Home,473,2024-07-31
CUST_416,PROD_17,Home,181,2024-05-26
CUST_485,PROD_39,Clothing,268,2024-04-20
CUST_145,PROD_47,Food,69,2024-12-31
CUST_91,PROD_43,Home,89,2024-07-30
CUST_148,PROD_11,Food,406,2024-09-08
CUST_68,PROD_21,Electronics,354,2025-01-29
CUST_122,PROD_36,Home,44,2024-05-13
CUST_192,PROD_38,Food,266,2024-03-15
CUST_247,PROD_23,Toys,153,2024-05-15
CUST_328,PROD_28,Toys,154,2024-09-21
CUST_488,PROD_30,Clothing,329,2024-08-29
CUST_337,PROD_8,Food,443,2024-11-12
CUST_103,PROD_15,Toys,176,2024-06-15
CUST_274,PROD_9,Electronics,137,2024-06-09
CUST_237,PROD_50,Clothing,158,2024-11-11
CUST_175,PROD_37,Food,264,2024-05-09
CUST_187,PROD_29,Food,194,2025-01-06
